landingPagePlusQueryString,sessionDefaultChannelGroup,sessions_current,sessions_previous,sessions_delta,sessions_delta_pct,totalUsers_current,totalUsers_previous,totalUsers_delta,totalUsers_delta_pct,engagedSessions_current,engagedSessions_previous,engagedSessions_delta,engagedSessions_delta_pct,screenPageViews_current,screenPageViews_previous,screenPageViews_delta,screenPageViews_delta_pct
/articles/tsuki-betsu-kateisaien-calendar,Organic Search,7,7,0,0%,7,7,0,0%,5,5,0,0%,9,7,2,28.57%
/archives/218,Organic Search,6,0,6,,6,0,6,,4,0,4,,7,0,7,
/archives/2595,Organic Search,6,7,-1,-14.29%,6,7,-1,-14.29%,2,3,-1,-33.33%,6,9,-3,-33.33%
/archives/3189,Organic Search,6,0,6,,5,0,5,,1,0,1,,6,0,6,
/archives/3200,Organic Search,6,11,-5,-45.45%,6,10,-4,-40%,2,4,-2,-50%,6,13,-7,-53.85%
/archives/3290,Organic Search,6,6,0,0%,6,6,0,0%,6,4,2,50%,7,6,1,16.67%
/archives/3301,Organic Search,6,6,0,0%,6,6,0,0%,2,4,-2,-50%,6,6,0,0%
/archives/3622,Organic Search,6,0,6,,6,0,6,,5,0,5,,7,0,7,
/archives/4189,Organic Search,6,0,6,,6,0,6,,6,0,6,,6,0,6,
/archives/492,Organic Search,6,7,-1,-14.29%,6,7,-1,-14.29%,4,5,-1,-20%,6,7,-1,-14.29%
/archives/2755,Organic Search,0,24,-24,-100%,0,23,-23,-100%,0,12,-12,-100%,0,28,-28,-100%
/archives/3933,Direct,0,20,-20,-100%,0,20,-20,-100%,0,1,-1,-100%,0,20,-20,-100%
/archives/3672,Direct,0,14,-14,-100%,0,14,-14,-100%,0,3,-3,-100%,0,14,-14,-100%
/archives/2320,Organic Search,0,12,-12,-100%,0,11,-11,-100%,0,6,-6,-100%,0,12,-12,-100%
/jp/dhondt-calculator,Organic Search,0,12,-12,-100%,0,1,-1,-100%,0,5,-5,-100%,0,21,-21,-100%
/archives/3506,Organic Search,0,11,-11,-100%,0,10,-10,-100%,0,6,-6,-100%,0,11,-11,-100%
/archives/2353,Organic Search,0,10,-10,-100%,0,6,-6,-100%,0,6,-6,-100%,0,10,-10,-100%
/archives/240,Organic Search,0,10,-10,-100%,0,10,-10,-100%,0,6,-6,-100%,0,10,-10,-100%
/archives/2546,Organic Search,0,10,-10,-100%,0,10,-10,-100%,0,7,-7,-100%,0,10,-10,-100%
/archives/4010,Organic Search,0,10,-10,-100%,0,10,-10,-100%,0,8,-8,-100%,0,12,-12,-100%
/archives/1112,Organic Search,0,7,-7,-100%,0,5,-5,-100%,0,5,-5,-100%,0,8,-8,-100%
/archives/2124,Organic Search,0,7,-7,-100%,0,7,-7,-100%,0,3,-3,-100%,0,7,-7,-100%
/archives/2838,Direct,0,7,-7,-100%,0,7,-7,-100%,0,0,0,,0,7,-7,-100%
/archives/3115,Organic Search,0,7,-7,-100%,0,7,-7,-100%,0,6,-6,-100%,0,7,-7,-100%
/archives/362,Organic Search,0,7,-7,-100%,0,7,-7,-100%,0,5,-5,-100%,0,7,-7,-100%
/archives/2776,Organic Search,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%
/archives/2921,Organic Search,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%,0,6,-6,-100%
